email_text,label
Urgent: Verify your account information to avoid suspension.,1
Your subscription has been renewed successfully.,0
You are eligible for a free upgrade. Click here to activate.,1
We value your feedback. Please take a moment to complete our survey.,0
Urgent: Verify your account information to avoid suspension.,1
We value your feedback. Please take a moment to complete our survey.,0
Update your payment information to avoid service interruption.,1
Your subscription has been renewed successfully.,0
Your package delivery is on hold. Verify your address now.,1
Happy Birthday! Enjoy a special discount on us.,0
Congratulations! You've won a prize. Provide your details to claim.,1
Your subscription has been renewed successfully.,0
Your account has been compromised. Click here to secure it now!,1
Don't forget to submit your report by Friday.,0
Update your payment information to avoid service interruption.,1
Happy Birthday! Enjoy a special discount on us.,0
Your account has been compromised. Click here to secure it now!,1
Here's your monthly newsletter. Stay updated!,0
Get rich quick! Invest now and double your money.,1
Can we reschedule our lunch meeting?,0
Get rich quick! Invest now and double your money.,1
Thank you for your purchase! Your invoice is attached.,0
You are eligible for a free upgrade. Click here to activate.,1
Here's your monthly newsletter. Stay updated!,0
You are eligible for a free upgrade. Click here to activate.,1
Reminder: Team meeting tomorrow at 10 AM.,0
You are eligible for a free upgrade. Click here to activate.,1
Here's your monthly newsletter. Stay updated!,0
Suspicious activity detected. Log in to verify your identity.,1
Happy Birthday! Enjoy a special discount on us.,0
Update your payment information to avoid service interruption.,1
Reminder: Team meeting tomorrow at 10 AM.,0
Suspicious activity detected. Log in to verify your identity.,1
Reminder: Team meeting tomorrow at 10 AM.,0
Congratulations! You've won a prize. Provide your details to claim.,1
Here's your monthly newsletter. Stay updated!,0
Suspicious activity detected. Log in to verify your identity.,1
Don't forget to submit your report by Friday.,0
Suspicious activity detected. Log in to verify your identity.,1
Join our webinar on data science next week.,0
Your package delivery is on hold. Verify your address now.,1
Thank you for your purchase! Your invoice is attached.,0
Congratulations! You've won a prize. Provide your details to claim.,1
Don't forget to submit your report by Friday.,0
Your account has been compromised. Click here to secure it now!,1
We value your feedback. Please take a moment to complete our survey.,0
Urgent: Verify your account information to avoid suspension.,1
Your subscription has been renewed successfully.,0
Suspicious activity detected. Log in to verify your identity.,1
Your subscription has been renewed successfully.,0
Your account has been compromised. Click here to secure it now!,1
Can we reschedule our lunch meeting?,0
Suspicious activity detected. Log in to verify your identity.,1
Can we reschedule our lunch meeting?,0
Get rich quick! Invest now and double your money.,1
Can we reschedule our lunch meeting?,0
Your account has been compromised. Click here to secure it now!,1
Your subscription has been renewed successfully.,0
Your package delivery is on hold. Verify your address now.,1
Reminder: Team meeting tomorrow at 10 AM.,0
Your package delivery is on hold. Verify your address now.,1
Don't forget to submit your report by Friday.,0
Get rich quick! Invest now and double your money.,1
We value your feedback. Please take a moment to complete our survey.,0
You are eligible for a free upgrade. Click here to activate.,1
Your order has been shipped and will arrive soon.,0
Urgent: Verify your account information to avoid suspension.,1
Happy Birthday! Enjoy a special discount on us.,0
Click here to access your tax refund.,1
Your order has been shipped and will arrive soon.,0
You are eligible for a free upgrade. Click here to activate.,1
Your order has been shipped and will arrive soon.,0
Congratulations! You've won a prize. Provide your details to claim.,1
Reminder: Team meeting tomorrow at 10 AM.,0
Your package delivery is on hold. Verify your address now.,1
Your subscription has been renewed successfully.,0
Click here to access your tax refund.,1
Can we reschedule our lunch meeting?,0
Your package delivery is on hold. Verify your address now.,1
Can we reschedule our lunch meeting?,0
Get rich quick! Invest now and double your money.,1
Join our webinar on data science next week.,0
Get rich quick! Invest now and double your money.,1
Your order has been shipped and will arrive soon.,0
Congratulations! You've won a prize. Provide your details to claim.,1
We value your feedback. Please take a moment to complete our survey.,0
You have a pending payment. Log in to complete the transaction.,1
Join our webinar on data science next week.,0
Update your payment information to avoid service interruption.,1
We value your feedback. Please take a moment to complete our survey.,0
Suspicious activity detected. Log in to verify your identity.,1
Your order has been shipped and will arrive soon.,0
Congratulations! You've won a prize. Provide your details to claim.,1
Thank you for your purchase! Your invoice is attached.,0
Update your payment information to avoid service interruption.,1
Can we reschedule our lunch meeting?,0
Update your payment information to avoid service interruption.,1
Your subscription has been renewed successfully.,0
Get rich quick! Invest now and double your money.,1
Can we reschedule our lunch meeting?,0
Get rich quick! Invest now and double your money.,1
Happy Birthday! Enjoy a special discount on us.,0
Get rich quick! Invest now and double your money.,1
Thank you for your purchase! Your invoice is attached.,0
You have a pending payment. Log in to complete the transaction.,1
Happy Birthday! Enjoy a special discount on us.,0
Get rich quick! Invest now and double your money.,1
Don't forget to submit your report by Friday.,0
Congratulations! You've won a prize. Provide your details to claim.,1
Don't forget to submit your report by Friday.,0
Urgent: Verify your account information to avoid suspension.,1
Don't forget to submit your report by Friday.,0
Get rich quick! Invest now and double your money.,1
Join our webinar on data science next week.,0
You are eligible for a free upgrade. Click here to activate.,1
Don't forget to submit your report by Friday.,0
Update your payment information to avoid service interruption.,1
Don't forget to submit your report by Friday.,0
Urgent: Verify your account information to avoid suspension.,1
Thank you for your purchase! Your invoice is attached.,0
Your package delivery is on hold. Verify your address now.,1
Can we reschedule our lunch meeting?,0
You are eligible for a free upgrade. Click here to activate.,1
Reminder: Team meeting tomorrow at 10 AM.,0
Your account has been compromised. Click here to secure it now!,1
Don't forget to submit your report by Friday.,0
Get rich quick! Invest now and double your money.,1
Here's your monthly newsletter. Stay updated!,0
Click here to access your tax refund.,1
Don't forget to submit your report by Friday.,0
You have a pending payment. Log in to complete the transaction.,1
Here's your monthly newsletter. Stay updated!,0
Your package delivery is on hold. Verify your address now.,1
Don't forget to submit your report by Friday.,0
Congratulations! You've won a prize. Provide your details to claim.,1
Join our webinar on data science next week.,0
Your account has been compromised. Click here to secure it now!,1
Thank you for your purchase! Your invoice is attached.,0
Urgent: Verify your account information to avoid suspension.,1
Can we reschedule our lunch meeting?,0
Click here to access your tax refund.,1
Can we reschedule our lunch meeting?,0
Get rich quick! Invest now and double your money.,1
Don't forget to submit your report by Friday.,0
Get rich quick! Invest now and double your money.,1
Don't forget to submit your report by Friday.,0
You have a pending payment. Log in to complete the transaction.,1
Join our webinar on data science next week.,0
You are eligible for a free upgrade. Click here to activate.,1
Reminder: Team meeting tomorrow at 10 AM.,0
Congratulations! You've won a prize. Provide your details to claim.,1
Here's your monthly newsletter. Stay updated!,0
Update your payment information to avoid service interruption.,1
Can we reschedule our lunch meeting?,0
Suspicious activity detected. Log in to verify your identity.,1
We value your feedback. Please take a moment to complete our survey.,0
Suspicious activity detected. Log in to verify your identity.,1
Thank you for your purchase! Your invoice is attached.,0
You have a pending payment. Log in to complete the transaction.,1
Don't forget to submit your report by Friday.,0
Click here to access your tax refund.,1
Your subscription has been renewed successfully.,0
Urgent: Verify your account information to avoid suspension.,1
Happy Birthday! Enjoy a special discount on us.,0
Your account has been compromised. Click here to secure it now!,1
Your order has been shipped and will arrive soon.,0
Your account has been compromised. Click here to secure it now!,1
Your order has been shipped and will arrive soon.,0
Urgent: Verify your account information to avoid suspension.,1
Reminder: Team meeting tomorrow at 10 AM.,0
Your account has been compromised. Click here to secure it now!,1
Your order has been shipped and will arrive soon.,0
Click here to access your tax refund.,1
Here's your monthly newsletter. Stay updated!,0
You are eligible for a free upgrade. Click here to activate.,1
Happy Birthday! Enjoy a special discount on us.,0
You are eligible for a free upgrade. Click here to activate.,1
Join our webinar on data science next week.,0
Suspicious activity detected. Log in to verify your identity.,1
Your order has been shipped and will arrive soon.,0
You are eligible for a free upgrade. Click here to activate.,1
Thank you for your purchase! Your invoice is attached.,0
You are eligible for a free upgrade. Click here to activate.,1
Happy Birthday! Enjoy a special discount on us.,0
Your package delivery is on hold. Verify your address now.,1
Thank you for your purchase! Your invoice is attached.,0
Congratulations! You've won a prize. Provide your details to claim.,1
Join our webinar on data science next week.,0
Suspicious activity detected. Log in to verify your identity.,1
Can we reschedule our lunch meeting?,0
Urgent: Verify your account information to avoid suspension.,1
Can we reschedule our lunch meeting?,0
